 DonateButtonManager props  Object
 A preload for 'https://odrviewer.io/viewer.wasm' is found, but is not used because the request credentials mode does not match. Consider taking a look at crossorigin attribute.
instantiateAsync @ viewer.js:1
 [WARN] Road #0: planView::geometry::s -0.456138 < 0, set s=0
 [WARN] Road #1: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #2: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #3: planView::geometry::s -8.750000 < 0, set s=0
 [WARN] Road #4: planView::geometry::s -2.482511 < 0, set s=0
 [WARN] Road #5: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #6: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #7: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #8: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #9: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #10: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #12: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #15: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #16: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #17: planView::geometry::s -2.131389 < 0, set s=0
 [WARN] Road #18: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #19: planView::geometry::s -3.220910 < 0, set s=0
 [WARN] Road #20: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #21: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #22: planView::geometry::s -2.980683 < 0, set s=0
 [WARN] Road #23: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #24: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #25: planView::geometry::s -3.450956 < 0, set s=0
 [WARN] Road #26: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #27: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #30: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #31: planView::geometry::s -3.659613 < 0, set s=0
 [WARN] Road #32: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #33: planView::geometry::s -1.487779 < 0, set s=0
 [WARN] Road #34: planView::geometry::s -5.297606 < 0, set s=0
 [WARN] Road #35: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #37: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #39: planView::geometry::s -0.688391 < 0, set s=0
 [WARN] Road #40: planView::geometry::s -0.044937 < 0, set s=0
 [WARN] Road #41: planView::geometry::s -0.500000 < 0, set s=0
 [WARN] Road #42: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #43: planView::geometry::s -2.581431 < 0, set s=0
 [WARN] Road #45: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #46: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #47: planView::geometry::s -1.360676 < 0, set s=0
 [WARN] Road #48: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #49: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #51: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #53: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #54: planView::geometry::s -2.079201 < 0, set s=0
 [WARN] Road #55: planView::geometry::s -0.790137 < 0, set s=0
 [WARN] Road #57: planView::geometry::s -0.529825 < 0, set s=0
 [WARN] Road #58: planView::geometry::s -2.819939 < 0, set s=0
 [WARN] Road #59: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #60: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #61: planView::geometry::s -2.980938 < 0, set s=0
 [WARN] Road #62: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #63: planView::geometry::s -2.311625 < 0, set s=0
 [WARN] Road #64: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #65: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #66: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #68: planView::geometry::s -2.766528 < 0, set s=0
 [WARN] Road #69: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #70: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #71: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #72: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #74: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #75: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #76: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #77: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #78: planView::geometry::s -1.220784 < 0, set s=0
 [WARN] Road #79: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #80: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #82: planView::geometry::s -2.196826 < 0, set s=0
 [WARN] Road #83: planView::geometry::s -1.587934 < 0, set s=0
 [WARN] Road #84: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #85: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #86: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #88: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #89: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #90: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #91: planView::geometry::s -7.000000 < 0, set s=0
 [WARN] Road #92: planView::geometry::s -7.000000 < 0, set s=0
 [WARN] Road #93: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #94: planView::geometry::s -2.787245 < 0, set s=0
 [WARN] Road #95: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #96: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #97: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #98: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #99: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #100: planView::geometry::s -7.000000 < 0, set s=0
 [WARN] Road #101: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #102: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #103: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #104: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #105: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #106: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #107: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #108: planView::geometry::s -3.290480 < 0, set s=0
 [WARN] Road #109: planView::geometry::s -7.000000 < 0, set s=0
 [WARN] Road #110: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #111: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #112: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #113: planView::geometry::s -7.000000 < 0, set s=0
 [WARN] Road #114: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #115: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #116: planView::geometry::s -2.465524 < 0, set s=0
 [WARN] Road #117: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #118: planView::geometry::s -0.221005 < 0, set s=0
 [WARN] Road #119: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #121: planView::geometry::s -2.309826 < 0, set s=0
 [WARN] Road #122: planView::geometry::s -1.811483 < 0, set s=0
 [WARN] Road #123: planView::geometry::s -2.531141 < 0, set s=0
 [WARN] Road #124: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #125: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #126: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #127: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #128: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #129: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #131: planView::geometry::s -1.676761 < 0, set s=0
 [WARN] Road #132: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #133: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #134: planView::geometry::s -3.250000 < 0, set s=0
 [WARN] Road #136: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #137: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #138: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #139: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #140: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #141: planView::geometry::s -2.720266 < 0, set s=0
 [WARN] Road #142: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #143: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #144: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #145: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #146: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #147: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #148: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #149: planView::geometry::s -0.060075 < 0, set s=0
 [WARN] Road #150: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #152: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #153: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #154: planView::geometry::s -2.888862 < 0, set s=0
 [WARN] Road #155: planView::geometry::s -2.982167 < 0, set s=0
 [WARN] Road #156: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #157: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #158: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #159: planView::geometry::s -1.822636 < 0, set s=0
 [WARN] Road #160: planView::geometry::s -1.780111 < 0, set s=0
 [WARN] Road #161: planView::geometry::s -0.500000 < 0, set s=0
 [WARN] Road #162: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #163: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #164: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #165: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #166: planView::geometry::s -1.679872 < 0, set s=0
 [WARN] Road #167: planView::geometry::s -1.614568 < 0, set s=0
 [WARN] Road #168: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #169: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #172: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #173: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #174: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #175: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #176: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #178: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #179: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #180: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #181: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #182: planView::geometry::s -2.300218 < 0, set s=0
 [WARN] Road #183: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #185: planView::geometry::s -2.023622 < 0, set s=0
 [WARN] Road #186: planView::geometry::s -1.456411 < 0, set s=0
 [WARN] Road #187: planView::geometry::s -0.364164 < 0, set s=0
 [WARN] Road #188: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #189: planView::geometry::s -1.447925 < 0, set s=0
 [WARN] Road #191: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #193: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #194: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #195: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #196: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #197: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #199: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #200: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #201: planView::geometry::s -0.515021 < 0, set s=0
 [WARN] Road #202: planView::geometry::s -3.250000 < 0, set s=0
 [WARN] Road #203: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #204: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #205: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #206: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #207: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #208: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #210: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #211: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #212: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #214: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #215: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #217: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #218: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #219: planView::geometry::s -1.904012 < 0, set s=0
 [WARN] Road #220: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #221: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #222: planView::geometry::s -2.076691 < 0, set s=0
 [WARN] Road #223: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #224: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #226: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #228: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #232: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #233: planView::geometry::s -2.501694 < 0, set s=0
 [WARN] Road #234: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #236: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #237: planView::geometry::s -2.298130 < 0, set s=0
 [WARN] Road #238: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #239: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #240: planView::geometry::s -1.743906 < 0, set s=0
 [WARN] Road #242: planView::geometry::s -0.555515 < 0, set s=0
 [WARN] Road #244: planView::geometry::s -7.000000 < 0, set s=0
 [WARN] Road #245: planView::geometry::s -7.000000 < 0, set s=0
 [WARN] Road #246: planView::geometry::s -7.000000 < 0, set s=0
 [WARN] Road #247: planView::geometry::s -3.347310 < 0, set s=0
 [WARN] Road #248: planView::geometry::s -2.407322 < 0, set s=0
 [WARN] Road #249: planView::geometry::s -2.206140 < 0, set s=0
 [WARN] Road #250: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #252: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #253: planView::geometry::s -0.922238 < 0, set s=0
 [WARN] Road #254: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #255: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #256: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #258: planView::geometry::s -1.890714 < 0, set s=0
 [WARN] Road #259: planView::geometry::s -0.035301 < 0, set s=0
 [WARN] Road #260: planView::geometry::s -2.830733 < 0, set s=0
 [WARN] Road #262: planView::geometry::s -2.197966 < 0, set s=0
 [WARN] Road #263: planView::geometry::s -1.235525 < 0, set s=0
 [WARN] Road #265: planView::geometry::s -3.346472 < 0, set s=0
 [WARN] Road #268: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #269: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #271: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #272: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #274: planView::geometry::s -3.593543 < 0, set s=0
 [WARN] Road #275: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #277: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #278: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #279: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #280: planView::geometry::s -3.296169 < 0, set s=0
 [WARN] Road #281: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #283: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #284: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #285: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #286: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #287: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #288: planView::geometry::s -2.237402 < 0, set s=0
 [WARN] Road #289: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #290: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #291: planView::geometry::s -3.000000 < 0, set s=0
